PC1,PC2,PC3,GHGIntensityCluster
24403.272849467583,-425438.4521051261,-817316.2696497597,0
33314375.49158731,24576450.50321324,331127.39723190235,3
-1614554.7599350482,-984772.542798185,-341683.15763028676,0
742.5089362910949,802722.6472676495,166113.17110836448,2
2507470.917488297,761184.0355587887,-1268673.324413104,0
4285007.445514092,5601940.210118127,1561990.0725212516,3
-1378918.1935178072,1130940.1602914198,1197151.924663494,3
-1360998.42081417,-100315.32386050222,214995.48766510753,2
-821621.5651693507,1401976.5133088063,1099566.943175221,3
-925374.3231329373,382597.18008325284,351974.2027522189,2
2749797.5498834015,5223147.185456073,2120510.480712766,3
-1898077.8421942883,323491.7445565866,849697.3129523088,2
-1487223.5438770924,-258627.92487603985,160515.10256107122,2
897216.8555498631,515578.7835630105,-567204.6294966784,0
125173597.94941625,109606106.69575763,16172388.084773721,3
-1680786.3278059927,219593.6406906374,646409.8621035694,3
4338374.6236343905,696774.6442506566,-2341297.7714934726,1
543018.4970345465,6755775.9090061225,4564293.001832167,3
-566449.8445263584,3440208.585432077,2566001.818054631,3
666106.990107696,4295215.818926798,2552240.225887852,3
-666694.2166825356,3630166.926226859,2771758.6402496104,3
-1635035.424825106,2116817.953975607,2116254.9928714274,2
-2815878.6034020237,-992570.9083340511,322913.27240003593,0
-2718435.588260783,-991926.403434726,268958.6742202897,0
5721591.240922527,6440136.79672515,1419813.1108149746,2
-2549507.0042581228,613154.525549119,1442505.5475384267,3
-300100.4342004047,3016973.0281146877,2083165.1871962245,3
-1783777.6498492062,561335.3784928153,973614.1886988531,3
442534.6525278124,728618.7613580663,-138584.02260086453,2
-964407.8568927576,2134107.543204288,1757149.5300634364,3
2862214.8127010963,3135371.487285813,409452.18567446904,3
-1464383.7968729388,700926.0995298567,905480.1305030442,3
2679720.768714097,414357.53919314186,-1635580.1311193588,2
-2208590.6296934625,-532626.3137394048,347093.6428434349,1
-2303838.780025931,-989274.6408826519,39751.574807170546,0
-1668639.5277046873,1959296.8073984473,2013246.2539958055,3
1624135.2309810226,169983.15629842097,-1240290.01671653,1
-1810539.172930728,-985968.4064144848,-233561.9305485785,0
831153.1061075157,3420323.703957594,1768239.6076498223,2
-1765905.9197979295,-985770.5243307014,-257891.553132719,0
67518893.7177008,68229358.90502776,15699747.706653068,3
-1291555.6187539757,-85889.56754838908,187530.0565187281,2
150388662.9781519,-69830494.1157923,42558011.637250274,3
2243312.5612090738,2943779.120123277,603768.1340583622,2
