PC1,PC2,PC3
897221.5510855941,515580.69866401923,-567216.3156984525
125173600.83968997,109606105.14782831,16172394.578474117
-1680781.602721433,219595.58217434015,646397.7369535799
4338379.277046386,696776.5277464607,-2341308.8668658906
543023.1715277643,6755777.682496668,4564281.070901938
-566445.146150385,3440210.443350918,2565989.7961289356
666111.670982332,4295217.647538367,2552228.392479918
-666689.5184009913,3630168.7803287045,2771746.596921144
-1635030.7107720713,2116819.8500072067,2116242.8302633557
-2815873.8655220424,-992568.9320937053,322900.9990834991
-2718430.851693552,-991924.4280432371,268946.4182328038
5721595.854595025,6440138.536275701,1419802.0923784077
-2549502.27559554,613156.4626935882,1442493.2730607486
-300095.7399079758,3016974.892648093,2083153.2302588532
-1783772.9303676018,561337.3106536166,973602.0497310793
442539.3455051547,728620.6722720823,-138595.7804370256
-964403.1528723082,2134109.43272494,1757137.487309333
2862219.468770303,3135373.3239685204,409440.7760474974
-1464379.0830808214,700928.025387416,905468.0463841755
2679725.435800229,414359.43944011384,-1635591.4901286727
-2208585.903458982,-532624.3540029054,347081.4682571836
-2303834.0516867633,-989272.6701781215,39739.398938901955
-1668634.8171097406,1959298.7055243799,2013234.0996263078
1624139.9086849038,169985.0693578698,-1240301.5439064289
-1810534.4531565516,-985966.4407943682,-233574.01369737822
831157.7796389023,3420325.547861329,1768227.8512351178
-1765901.2022640181,-985768.5597639548,-257903.62451518734
67518897.39951192,68229358.74643962,15699745.521514827
-1291550.911145099,-85887.62783517118,187518.0435675495
150388663.8687794,-69830496.32423033,42558006.3516994
2243317.2165571004,2943780.9625218455,603756.6447799228
-1403313.9345294696,999968.3431686544,1107765.5587858488
467229.0159855103,3305283.1330333776,1882774.429935601
-1016178.4389417926,176092.7443974138,240955.3998355745
-2018912.8498798846,468977.57650284504,1032153.66235923
-1338183.622237864,-959161.6575292677,-476323.6927640843
3277678.3444383442,2789255.2499491763,-96904.26674671844
-1459603.0509510469,542446.5774196369,777518.6190856304
-1170384.7589277504,578883.7830143563,644772.3736867582
35810.46569337929,-398579.04295647447,-802226.1556096254
-1082234.6051016855,-981270.7016237446,-636357.7295017536
