PC1,PC2,PC3,GHGIntensityCluster
-1170389.4597478544,578881.8607368314,644784.3779166833,2
35805.77551341843,-398580.9781952121,-802214.3907170851,0
-1082239.309960171,-981272.6588195681,-636345.7883829443,0
-1114814.5280607566,3886015.7599997837,3225156.8620003546,3
-992497.529865481,-2035947.367705615,1054654.533265574,2
-1697762.4719390203,-263089.0446917961,274689.0013854486,2
837903.8803339797,1449752.2907266836,208863.23526863902,2
-1604063.984885656,685825.6200815444,971420.7148039989,3
6930343.245227861,14074123.571108827,6777353.8042633645,3
9132698.048949106,8162734.446132144,876360.4232675026,3
-2549579.1839685272,-1476601.9790984518,977135.4859072254,3
-1049887.9335375566,-416924.8108746447,-210971.54049246805,2
4423460.337854134,-945262.4535276619,-3683274.7498627445,0
-608935.337564329,-108529.16305035484,-211669.0629831099,2
7563638.235128855,-9629.366281397082,-4700235.301179603,0
9229968.456363855,-912524.8041843988,-6348392.558757319,0
29546651.41358134,1052879.90842055,-16143784.251717169,0
21065251.125938524,9743335.768791957,-4547420.217420273,2
992986.9978975074,771488.4135598353,-413377.38066418964,1
-858478.4511048372,-979783.7061144621,-760278.4451387206,0
5935832.776562873,-6350958.2936060885,4413315.768613654,3
13154769.848964993,-886123.421415991,-8523315.313356085,0
3056429.969364242,-3938040.8099978096,1995294.3795581032,3
23845096.738738935,-773925.1193242704,-14406041.03157118,0
8243358.731846701,-843112.7403075539,-5742012.693137071,0
-668094.346265823,-1244236.7191930485,-427400.2072423799,1
-343657.7601577004,-944779.4273225452,-1020404.4705140439,0
5966803.95098638,-2839755.1840364654,-1397311.3170684376,2
7174281.3095053295,-926371.4602776751,-5209163.866823622,0
10692445.204005176,12864000.774687804,3716562.522344958,3
29516634.30691197,-777559.6983748305,-17584302.27381077,0
11437632.015600665,-897885.58479062,-7570932.314525089,0
169320.95398189317,-972832.7074448031,-1329978.6552700154,0
11247047.771934941,-1144829.079950666,-7060466.408553872,0
18825672.937388,-578620.232331397,-11447822.116466472,0
4010068.038293527,-2284713.5358356545,-1249790.8075959585,2
30383415.41570653,4099526.851342632,-14213676.53418845,1
22860875.178608365,-821859.8196559444,-13897885.144511493,0
24694738.98761801,-1547605.24191081,-13692884.954750096,0
1992967.2570770609,-960763.5610968091,-2339767.659048641,0
36497672.90169419,-679594.2310682436,-21406170.818508256,0
10223505.759780305,3578140.823512233,-3353618.288250263,2
6197686.368644294,5996279.959795364,806107.9659112432,3
5542361.54517439,5334875.279275754,646999.0100589076,2
284021.2464898752,1093785.3713998962,238532.79100537562,2
763836.2543964903,6479.480571551899,-887686.0869147112,2
22828140.902808297,-824031.0028634424,-13872048.3374084,0
26662529.458458923,-800523.3963704117,-15987851.678567795,3
-1282742.4570698978,324956.3484155597,506620.6443026056,2
-594240.1942061603,-977852.4955860894,-907312.1840596631,0
423554.5270277355,-970928.343957813,-1471627.9100883415,0
9629660.456437124,-714423.8428610078,-6413520.659492884,0
5171879.491751121,-876289.0173685171,-4051261.9568891083,0
10063882.760493657,-724412.3968131504,-6665254.307751359,0
10972247.962941935,-901075.0292373715,-7312808.086915833,0
4607795.026509902,-943058.5408333347,-3789226.49636066,0
6414221.061570252,-931653.704744074,-4787309.04268959,0
30011417.585608877,-777959.2583822524,-17843778.231893327,1
3511343.9385571703,2716736.002972952,-281316.2584373995,3
